1773577570.659209 server started (43165): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1773577570.659259 on Linux 6.19.7-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Mar 12 15:50:03 UTC 2026
1773577570.659295 using libevent 2.1.12-stable poll
1773577570.659313 using ncurses 6.5 20250614
1773577570.659458 input_key_build: 0x10e003 (PasteStart) is \033[200~
1773577570.659479 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1773577570.659497 input_key_build: 0x10e195 (F1) is \033OP
1773577570.659513 input_key_build: 0x10e196 (F2) is \033OQ
1773577570.659530 input_key_build: 0x10e197 (F3) is \033OR
1773577570.659546 input_key_build: 0x10e198 (F4) is \033OS
1773577570.659563 input_key_build: 0x10e199 (F5) is \033[15~
1773577570.659578 input_key_build: 0x10e19a (F6) is \033[17~
1773577570.659592 input_key_build: 0x10e19b (F7) is \033[18~
1773577570.659601 input_key_build: 0x10e19c (F8) is \033[19~
1773577570.659615 input_key_build: 0x10e19d (F9) is \033[20~
1773577570.659625 input_key_build: 0x10e19e (F10) is \033[21~
1773577570.659635 input_key_build: 0x10e19f (F11) is \033[23~
1773577570.659644 input_key_build: 0x10e1a0 (F12) is \033[24~
1773577570.659653 input_key_build: 0x10e1a1 (IC) is \033[2~
1773577570.659664 input_key_build: 0x10e1a2 (DC) is \033[3~
1773577570.659674 input_key_build: 0x10e1a3 (Home) is \033[1~
1773577570.659685 input_key_build: 0x10e1a4 (End) is \033[4~
1773577570.659696 input_key_build: 0x10e1a5 (NPage) is \033[6~
1773577570.659706 input_key_build: 0x10e1a6 (PPage) is \033[5~
1773577570.659716 input_key_build: 0x10e1a7 (BTab) is \033[Z
1773577570.659727 input_key_build: 0x10e1a8 (Up) is \033[A
1773577570.659737 input_key_build: 0x10e1a9 (Down) is \033[B
1773577570.659747 input_key_build: 0x10e1aa (Left) is \033[D
1773577570.659757 input_key_build: 0x10e1ab (Right) is \033[C
1773577570.659768 input_key_build: 0x10e1ac (KP/) is /
1773577570.659778 input_key_build: 0x10e1ad (KP*) is *
1773577570.659788 input_key_build: 0x10e1ae (KP-) is -
1773577570.659799 input_key_build: 0x10e1af (KP7) is 7
1773577570.659810 input_key_build: 0x10e1b0 (KP8) is 8
1773577570.659820 input_key_build: 0x10e1b1 (KP9) is 9
1773577570.659831 input_key_build: 0x10e1b2 (KP+) is +
1773577570.659841 input_key_build: 0x10e1b3 (KP4) is 4
1773577570.659851 input_key_build: 0x10e1b4 (KP5) is 5
1773577570.659864 input_key_build: 0x10e1b5 (KP6) is 6
1773577570.659876 input_key_build: 0x10e1b6 (KP1) is 1
1773577570.659886 input_key_build: 0x10e1b7 (KP2) is 2
1773577570.659896 input_key_build: 0x10e1b8 (KP3) is 3
1773577570.659907 input_key_build: 0x10e1b9 (KPEnter) is \n
1773577570.659916 input_key_build: 0x10e1ba (KP0) is 0
1773577570.659927 input_key_build: 0x10e1bb (KP.) is .
1773577570.659938 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1773577570.659949 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1773577570.659959 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1773577570.659970 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1773577570.659980 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1773577570.659990 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1773577570.660000 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1773577570.660010 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1773577570.660021 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1773577570.660031 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1773577570.660041 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
